Token,Frequency (in %)
Emma,1.0976877944820325
Jane,0.386437457472622
Austen,0.001283845373663196
VOLUME,0.003851536120989588
I,4.078776752127974
CHAPTER,0.07061149555147578
Woodhouse,0.3954243750882644
handsome,0.04750227882553825
clever,0.034663825088906294
rich,0.017973835231284745
comfortable,0.04365074270454866
home,0.16433220782888908
happy,0.15406144483958353
disposition,0.030812288967916705
seemed,0.18102219768651062
unite,0.003851536120989588
best,0.10655916601404528
blessings,0.007703072241979176
existence,0.007703072241979176
lived,0.032096134341579895
nearly,0.017973835231284745
years,0.07189534092513898
world,0.10270762989305568
little,0.4544812622767714
distress,0.024393062099600724
vex,0.001283845373663196
She,0.7215210999987162
youngest,0.005135381494652784
two,0.21953755889640653
daughters,0.008986917615642373
affectionate,0.011554608362968764
indulgent,0.002567690747326392
father,0.255485229358976
consequence,0.03337997971524309
sister,0.04108305195722227
marriage,0.04365074270454866
mistress,0.014122299110295156
house,0.11811377437701404
early,0.05135381494652784
period,0.023109216725937527
Her,0.11297839288236125
mother,0.08730148540909732
died,0.005135381494652784
long,0.18230604306017384
ago,0.03979920658355908
indistinct,0.001283845373663196
remembrance,0.010270762989305567
caresses,0.001283845373663196
place,0.11169454750869805
supplied,0.00641922686831598
excellent,0.042366897330885465
woman,0.1630483624552259
governess,0.010270762989305567
fallen,0.008986917615642373
short,0.08601764003543413
affection,0.06290842330949661
Sixteen,0.002567690747326392
Miss,0.760036461208612
Taylor,0.060340732562170214
family,0.0975722483984029
less,0.08730148540909732
friend,0.2246729403910593
fond,0.050069969572864644
particularly,0.05905688718850702
Between,0.002567690747326392
intimacy,0.02567690747326392
sisters,0.015406144483958353
Even,0.01283845373663196
ceased,0.007703072241979176
hold,0.017973835231284745
nominal,0.001283845373663196
office,0.008986917615642373
mildness,0.001283845373663196
temper,0.04493458807821186
hardly,0.09115302153008692
allowed,0.05135381494652784
impose,0.001283845373663196
restraint,0.003851536120989588
shadow,0.002567690747326392
authority,0.007703072241979176
passed,0.06932765017781259
away,0.17588681619185786
living,0.02182537135227433
together,0.10270762989305568
mutually,0.003851536120989588
attached,0.032096134341579895
liked,0.020541525978611135
highly,0.030812288967916705
esteeming,0.001283845373663196
judgment,0.03594767046256949
directed,0.007703072241979176
chiefly,0.008986917615642373
The,0.4583327983977609
real,0.052637660320191036
evils,0.01283845373663196
indeed,0.2246729403910593
situation,0.08216610391444454
power,0.05135381494652784
rather,0.1861575791811634
much,0.6111103978636813
way,0.1951444967968058
think,0.48786124199201447
well,0.37488284910965325
disadvantages,0.001283845373663196
threatened,0.005135381494652784
alloy,0.003851536120989588
many,0.17075143469720508
enjoyments,0.003851536120989588
danger,0.03851536120989588
however,0.14507452722394115
present,0.11169454750869805
unperceived,0.002567690747326392
means,0.06162457793583341
rank,0.011554608362968764
misfortunes,0.001283845373663196
Sorrow,0.001283845373663196
came,0.15277759946592032
gentle,0.020541525978611135
sorrow,0.003851536120989588
shape,0.00641922686831598
disagreeable,0.02567690747326392
